L,t_max,t_eq,t_sample,runs,corr_times,t_|m|^(M),t_|m|^(M) sample std
4,16,9.6,6.4,50,"0.0     2.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     2.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     2.0
10.0    1.0
11.0    6.0
12.0    2.0
13.0    1.0
14.0    2.0
15.0    2.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
20.0    1.0
21.0    2.0
22.0    6.0
23.0    1.0
24.0    1.0
25.0    1.0
26.0    2.0
27.0    1.0
28.0    1.0
29.0    2.0
30.0    6.0
31.0    2.0
32.0    1.0
33.0    1.0
34.0    1.0
35.0    1.0
36.0    1.0
37.0    2.0
38.0    1.0
39.0    1.0
40.0    2.0
41.0    1.0
42.0    2.0
43.0    1.0
44.0    2.0
45.0    1.0
46.0    1.0
47.0    1.0
48.0    6.0
49.0    1.0
dtype: float64",1.68,1.361871461
8,64,38.4,25.6,50,"0.0     2.0
1.0     4.0
2.0     2.0
3.0     2.0
4.0     1.0
5.0     2.0
6.0     2.0
7.0     4.0
8.0     2.0
9.0     2.0
10.0    3.0
11.0    3.0
12.0    1.0
13.0    2.0
14.0    3.0
15.0    1.0
16.0    3.0
17.0    3.0
18.0    3.0
19.0    4.0
20.0    4.0
21.0    1.0
22.0    6.0
23.0    4.0
24.0    4.0
25.0    4.0
26.0    4.0
27.0    2.0
28.0    2.0
29.0    2.0
30.0    2.0
31.0    3.0
32.0    3.0
33.0    5.0
34.0    3.0
35.0    4.0
36.0    2.0
37.0    3.0
38.0    5.0
39.0    3.0
40.0    5.0
41.0    5.0
42.0    2.0
43.0    3.0
44.0    3.0
45.0    5.0
46.0    3.0
47.0    2.0
48.0    2.0
49.0    6.0
dtype: float64",3.02,1.269581323
12,144,86.4,57.6,50,"0.0      4.0
1.0      6.0
2.0      7.0
3.0     11.0
4.0      5.0
5.0      2.0
6.0      8.0
7.0      7.0
8.0      3.0
9.0      9.0
10.0     4.0
11.0     7.0
12.0     7.0
13.0     3.0
14.0    10.0
15.0     6.0
16.0     9.0
17.0     8.0
18.0     3.0
19.0     2.0
20.0     5.0
21.0     8.0
22.0     9.0
23.0     3.0
24.0     2.0
25.0     8.0
26.0     4.0
27.0    13.0
28.0     9.0
29.0     5.0
30.0     9.0
31.0     2.0
32.0     9.0
33.0     6.0
34.0     6.0
35.0     8.0
36.0     5.0
37.0     8.0
38.0     5.0
39.0     9.0
40.0     2.0
41.0     2.0
42.0    11.0
43.0     3.0
44.0     7.0
45.0     6.0
46.0     4.0
47.0     7.0
48.0     3.0
49.0    10.0
dtype: float64",6.18,2.83340136
16,256,153.6,102.4,50,"0.0      6.0
1.0      4.0
2.0      5.0
3.0      3.0
4.0      8.0
5.0      7.0
6.0     10.0
7.0      9.0
8.0     14.0
9.0     16.0
10.0    14.0
11.0    17.0
12.0     6.0
13.0    18.0
14.0    12.0
15.0     7.0
16.0    12.0
17.0    11.0
18.0    14.0
19.0     6.0
20.0     9.0
21.0     5.0
22.0    18.0
23.0     5.0
24.0    12.0
25.0     9.0
26.0     8.0
27.0     7.0
28.0     7.0
29.0    12.0
30.0     5.0
31.0     7.0
32.0     7.0
33.0     9.0
34.0    23.0
35.0     5.0
36.0    17.0
37.0    12.0
38.0    19.0
39.0    11.0
40.0    16.0
41.0     4.0
42.0     8.0
43.0    10.0
44.0    10.0
45.0     7.0
46.0     6.0
47.0    16.0
48.0     6.0
49.0     3.0
dtype: float64",9.84,4.752485923
20,400,240,160,50,"0.0      8.0
1.0      6.0
2.0     10.0
3.0     13.0
4.0      8.0
5.0     15.0
6.0     20.0
7.0     11.0
8.0     31.0
9.0     12.0
10.0     8.0
11.0    20.0
12.0     8.0
13.0    19.0
14.0    14.0
15.0    24.0
16.0    12.0
17.0    25.0
18.0    26.0
19.0    14.0
20.0    16.0
21.0    25.0
22.0    32.0
23.0    28.0
24.0    19.0
25.0     6.0
26.0    18.0
27.0    25.0
28.0    15.0
29.0    27.0
30.0    17.0
31.0    25.0
32.0    25.0
33.0    19.0
34.0     8.0
35.0    26.0
36.0     9.0
37.0    15.0
38.0    31.0
39.0    14.0
40.0    28.0
41.0    30.0
42.0    22.0
43.0    12.0
44.0     8.0
45.0    30.0
46.0     5.0
47.0    28.0
48.0    20.0
49.0    27.0
dtype: float64",18.28,8.061093256
24,576,345.6,230.4,50,"0.0     22.0
1.0     32.0
2.0     51.0
3.0     32.0
4.0     14.0
5.0     41.0
6.0     27.0
7.0     12.0
8.0     12.0
9.0     11.0
10.0    41.0
11.0    21.0
12.0     7.0
13.0    43.0
14.0    11.0
15.0    22.0
16.0    25.0
17.0    35.0
18.0     5.0
19.0    39.0
20.0     9.0
21.0    46.0
22.0    22.0
23.0    11.0
24.0    26.0
25.0    28.0
26.0    12.0
27.0    37.0
28.0    21.0
29.0    33.0
30.0    28.0
31.0    48.0
32.0    13.0
33.0    23.0
34.0    45.0
35.0    25.0
36.0    11.0
37.0    10.0
38.0    49.0
39.0    29.0
40.0    45.0
41.0    48.0
42.0    28.0
43.0    17.0
44.0    34.0
45.0    28.0
46.0    36.0
47.0    13.0
48.0    15.0
49.0     8.0
dtype: float64",26.02,13.26109855
30,900,540,360,50,"0.0     19.0
1.0     55.0
2.0     52.0
3.0     35.0
4.0     42.0
5.0     28.0
6.0     20.0
7.0     71.0
8.0     22.0
9.0     63.0
10.0    57.0
11.0    20.0
12.0     9.0
13.0    35.0
14.0    41.0
15.0    19.0
16.0    17.0
17.0    28.0
18.0    59.0
19.0    40.0
20.0    24.0
21.0    16.0
22.0    29.0
23.0    39.0
24.0    20.0
25.0    10.0
26.0    12.0
27.0    32.0
28.0    51.0
29.0    13.0
30.0    34.0
31.0    56.0
32.0    79.0
33.0    48.0
34.0    41.0
35.0    44.0
36.0    59.0
37.0    63.0
38.0    26.0
39.0    23.0
40.0    32.0
41.0    48.0
42.0    46.0
43.0    16.0
44.0    14.0
45.0    64.0
46.0    55.0
47.0    19.0
48.0    44.0
49.0    16.0
dtype: float64",36.1,18.10316243
36,1296,777.6,518.4,50,"0.0      97.0
1.0      40.0
2.0      47.0
3.0      62.0
4.0      50.0
5.0      78.0
6.0      53.0
7.0      25.0
8.0      47.0
9.0      68.0
10.0     36.0
11.0     61.0
12.0     29.0
13.0     43.0
14.0     38.0
15.0     32.0
16.0     64.0
17.0     20.0
18.0     22.0
19.0     76.0
20.0    114.0
21.0     57.0
22.0     45.0
23.0     15.0
24.0     58.0
25.0     22.0
26.0    122.0
27.0     95.0
28.0     21.0
29.0     23.0
30.0     39.0
31.0     39.0
32.0     49.0
33.0     44.0
34.0     17.0
35.0     86.0
36.0     81.0
37.0     89.0
38.0     34.0
39.0     75.0
40.0    119.0
41.0     58.0
42.0     64.0
43.0    115.0
44.0     46.0
45.0     18.0
46.0     26.0
47.0     82.0
48.0     27.0
49.0     69.0
dtype: float64",54.74,28.8364919
44,1936,1161.6,774.4,50,"0.0      51.0
1.0      37.0
2.0     162.0
3.0      62.0
4.0      91.0
5.0      38.0
6.0      77.0
7.0      67.0
8.0     138.0
9.0      38.0
10.0     62.0
11.0     56.0
12.0     95.0
13.0     23.0
14.0     86.0
15.0     71.0
16.0     87.0
17.0     75.0
18.0    153.0
19.0     62.0
20.0     45.0
21.0    150.0
22.0    171.0
23.0    143.0
24.0     36.0
25.0    138.0
26.0     62.0
27.0     82.0
28.0     60.0
29.0     37.0
30.0     85.0
31.0     29.0
32.0    108.0
33.0     38.0
34.0     85.0
35.0     90.0
36.0    152.0
37.0    106.0
38.0     62.0
39.0    134.0
40.0     96.0
41.0     27.0
42.0    127.0
43.0     50.0
44.0     16.0
45.0     85.0
46.0     43.0
47.0    120.0
48.0    116.0
49.0     88.0
dtype: float64",82.24,40.950722
50,2500,1500,1000,50,"0.0     195.0
1.0      88.0
2.0     137.0
3.0      61.0
4.0     130.0
5.0      49.0
6.0     137.0
7.0      82.0
8.0      84.0
9.0     103.0
10.0     50.0
11.0    219.0
12.0     62.0
13.0     47.0
14.0     97.0
15.0     94.0
16.0     68.0
17.0    196.0
18.0     42.0
19.0     83.0
20.0     48.0
21.0    109.0
22.0     36.0
23.0     95.0
24.0    231.0
25.0     61.0
26.0     77.0
27.0    199.0
28.0     68.0
29.0     91.0
30.0     88.0
31.0     94.0
32.0    107.0
33.0    145.0
34.0    190.0
35.0     71.0
36.0     20.0
37.0    178.0
38.0     87.0
39.0     71.0
40.0     58.0
41.0    128.0
42.0     96.0
43.0    116.0
44.0     86.0
45.0    156.0
46.0    103.0
47.0    218.0
48.0     36.0
49.0     61.0
dtype: float64",102.96,53.32723775
60,3600,2160,1440,50,"0.0      95.0
1.0      93.0
2.0     236.0
3.0     117.0
4.0     124.0
5.0     103.0
6.0     116.0
7.0     214.0
8.0     125.0
9.0      97.0
10.0     66.0
11.0    108.0
12.0    129.0
13.0     80.0
14.0     94.0
15.0    243.0
16.0    150.0
17.0    221.0
18.0    117.0
19.0    147.0
20.0     89.0
21.0    288.0
22.0    249.0
23.0    245.0
24.0    142.0
25.0    231.0
26.0    170.0
27.0    125.0
28.0     58.0
29.0    219.0
30.0     38.0
31.0    105.0
32.0    135.0
33.0    199.0
34.0     98.0
35.0     78.0
36.0     71.0
37.0    116.0
38.0    206.0
39.0    125.0
40.0    183.0
41.0    278.0
42.0    104.0
43.0     62.0
44.0    261.0
45.0     89.0
46.0    237.0
47.0    194.0
48.0    285.0
49.0     62.0
dtype: float64",148.34,69.3752323
