betaJ,t_max,t_eq,t_sample,runs,corr_times,t_|m|^(SW),t_|m|^(SW) sample std
0.2,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.2210526315789474,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.24210526315789474,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.26315789473684215,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.28421052631578947,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.30526315789473685,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.3263157894736842,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.34736842105263155,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.368421052631579,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.0,0.0
0.3894736842105263,625.0,500.0,125.0,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     2.0
7.0     1.0
8.0     1.0
9.0     2.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64",1.1,0.3077935056255462
0.4105263157894737,625.0,500.0,125.0,20.0,"0.0     2.0
1.0     1.0
2.0     2.0
3.0     2.0
4.0     2.0
5.0     2.0
6.0     2.0
7.0     2.0
8.0     2.0
9.0     2.0
10.0    2.0
11.0    1.0
12.0    2.0
13.0    2.0
14.0    5.0
15.0    1.0
16.0    1.0
17.0    2.0
18.0    1.0
19.0    2.0
dtype: float64",1.9,0.8522416262267904
0.43157894736842106,625.0,500.0,125.0,20.0,"0.0     3.0
1.0     2.0
2.0     3.0
3.0     3.0
4.0     2.0
5.0     2.0
6.0     4.0
7.0     2.0
8.0     2.0
9.0     5.0
10.0    3.0
11.0    3.0
12.0    2.0
13.0    4.0
14.0    3.0
15.0    3.0
16.0    4.0
17.0    3.0
18.0    2.0
19.0    3.0
dtype: float64",2.9,0.8522416262267903
0.45263157894736844,625.0,500.0,125.0,20.0,"0.0     4.0
1.0     2.0
2.0     3.0
3.0     2.0
4.0     3.0
5.0     2.0
6.0     3.0
7.0     2.0
8.0     2.0
9.0     3.0
10.0    3.0
11.0    3.0
12.0    2.0
13.0    4.0
14.0    3.0
15.0    3.0
16.0    2.0
17.0    4.0
18.0    4.0
19.0    3.0
dtype: float64",2.85,0.7451598203705947
0.4736842105263158,625.0,500.0,125.0,20.0,"0.0      2.0
1.0      3.0
2.0     10.0
3.0      4.0
4.0      2.0
5.0      2.0
6.0      2.0
7.0      2.0
8.0      2.0
9.0      2.0
10.0     2.0
11.0     3.0
12.0     3.0
13.0     2.0
14.0     3.0
15.0     3.0
16.0     2.0
17.0     2.0
18.0     2.0
19.0     2.0
dtype: float64",2.75,1.8027756377319946
0.49473684210526314,625.0,500.0,125.0,20.0,"0.0     2.0
1.0     3.0
2.0     2.0
3.0     3.0
4.0     2.0
5.0     3.0
6.0     2.0
7.0     3.0
8.0     2.0
9.0     2.0
10.0    2.0
11.0    2.0
12.0    5.0
13.0    2.0
14.0    3.0
15.0    3.0
16.0    2.0
17.0    3.0
18.0    2.0
19.0    2.0
dtype: float64",2.5,0.7608859102526822
0.5157894736842106,625.0,500.0,125.0,20.0,"0.0     2.0
1.0     2.0
2.0     3.0
3.0     2.0
4.0     2.0
5.0     2.0
6.0     3.0
7.0     3.0
8.0     2.0
9.0     2.0
10.0    3.0
11.0    3.0
12.0    3.0
13.0    2.0
14.0    2.0
15.0    3.0
16.0    3.0
17.0    3.0
18.0    5.0
19.0    2.0
dtype: float64",2.6,0.7539370349250519
0.5368421052631579,625.0,500.0,125.0,20.0,"0.0     2.0
1.0     3.0
2.0     2.0
3.0     2.0
4.0     2.0
5.0     4.0
6.0     3.0
7.0     2.0
8.0     3.0
9.0     2.0
10.0    3.0
11.0    2.0
12.0    2.0
13.0    2.0
14.0    2.0
15.0    2.0
16.0    3.0
17.0    2.0
18.0    2.0
19.0    3.0
dtype: float64",2.4,0.5982430416161189
0.5578947368421052,625.0,500.0,125.0,20.0,"0.0     2.0
1.0     3.0
2.0     2.0
3.0     2.0
4.0     2.0
5.0     2.0
6.0     4.0
7.0     3.0
8.0     3.0
9.0     3.0
10.0    2.0
11.0    3.0
12.0    4.0
13.0    2.0
14.0    2.0
15.0    2.0
16.0    2.0
17.0    2.0
18.0    2.0
19.0    2.0
dtype: float64",2.45,0.6863327411532597
0.5789473684210527,625.0,500.0,125.0,20.0,"0.0     2.0
1.0     2.0
2.0     2.0
3.0     4.0
4.0     2.0
5.0     2.0
6.0     3.0
7.0     3.0
8.0     2.0
9.0     2.0
10.0    2.0
11.0    2.0
12.0    2.0
13.0    2.0
14.0    2.0
15.0    2.0
16.0    2.0
17.0    2.0
18.0    2.0
19.0    2.0
dtype: float64",2.2,0.5231483637805969
0.6,625.0,500.0,125.0,20.0,"0.0     2.0
1.0     2.0
2.0     2.0
3.0     2.0
4.0     2.0
5.0     2.0
6.0     2.0
7.0     3.0
8.0     2.0
9.0     2.0
10.0    2.0
11.0    2.0
12.0    3.0
13.0    4.0
14.0    2.0
15.0    2.0
16.0    3.0
17.0    2.0
18.0    2.0
19.0    2.0
dtype: float64",2.25,0.5501196042201808
