betaJ,runs,corr_times,average_cluster_sizes,t_|m|^(W),<n>,<n>/N,t_|m|^(M),t_|m|^(W) sample std,<n> sample std,t_|m|^(M) error
0.2,20.0,"0.0     16.0
1.0      2.0
2.0     13.0
3.0     16.0
4.0      8.0
5.0      8.0
6.0      5.0
7.0      8.0
8.0      8.0
9.0     19.0
10.0    17.0
11.0     5.0
12.0     9.0
13.0    14.0
14.0    11.0
15.0    23.0
16.0    10.0
17.0    18.0
18.0     8.0
19.0    20.0
dtype: float64","0.0     2.408
1.0     2.864
2.0     2.992
3.0     2.704
4.0     2.528
5.0     3.256
6.0     2.936
7.0     3.024
8.0     2.656
9.0     2.328
10.0    2.976
11.0    2.792
12.0    2.688
13.0    2.744
14.0    2.904
15.0    2.680
16.0    3.112
17.0    2.624
18.0    2.760
19.0    2.968
dtype: float64",11.9,2.7972,0.00447552,0.053258688000000005,5.729884723741693,0.23259126109302147,0.026023789896513657
0.2210526315789474,20.0,"0.0      4.0
1.0      4.0
2.0     11.0
3.0     13.0
4.0      7.0
5.0      4.0
6.0      2.0
7.0      7.0
8.0      4.0
9.0      4.0
10.0    13.0
11.0    24.0
12.0    13.0
13.0     7.0
14.0     5.0
15.0     5.0
16.0     6.0
17.0    18.0
18.0     7.0
19.0     6.0
dtype: float64","0.0     3.808
1.0     3.272
2.0     3.160
3.0     3.112
4.0     3.640
5.0     3.680
6.0     3.408
7.0     3.544
8.0     3.904
9.0     3.952
10.0    3.480
11.0    3.336
12.0    3.512
13.0    3.928
14.0    3.408
15.0    3.912
16.0    3.720
17.0    3.296
18.0    3.016
19.0    2.896
dtype: float64",8.2,3.4992000000000005,0.005598720000000001,0.045909504000000004,5.549774770204643,0.3179555745201223,0.031350415587014714
0.24210526315789474,20.0,"0.0      8.0
1.0      5.0
2.0     18.0
3.0     14.0
4.0     15.0
5.0      6.0
6.0     12.0
7.0      6.0
8.0     16.0
9.0      7.0
10.0     9.0
11.0     7.0
12.0     4.0
13.0     5.0
14.0     8.0
15.0     4.0
16.0    17.0
17.0     7.0
18.0     5.0
19.0    21.0
dtype: float64","0.0     4.464
1.0     4.008
2.0     3.432
3.0     4.024
4.0     3.632
5.0     3.688
6.0     3.328
7.0     4.256
8.0     4.352
9.0     3.320
10.0    4.664
11.0    3.344
12.0    3.984
13.0    3.920
14.0    3.880
15.0    4.624
16.0    3.552
17.0    4.272
18.0    4.376
19.0    4.000
dtype: float64",9.7,3.956000000000001,0.006329600000000001,0.061397120000000006,5.272570530585627,0.4312625284221348,0.03403782450560739
0.26315789473684215,20.0,"0.0      5.0
1.0      4.0
2.0     11.0
3.0      8.0
4.0      8.0
5.0      6.0
6.0      5.0
7.0     11.0
8.0     11.0
9.0      7.0
10.0     3.0
11.0     5.0
12.0    13.0
13.0     6.0
14.0     7.0
15.0    11.0
16.0     9.0
17.0     6.0
18.0     5.0
19.0    14.0
dtype: float64","0.0     4.896
1.0     4.960
2.0     5.368
3.0     4.632
4.0     5.272
5.0     4.408
6.0     4.256
7.0     3.704
8.0     4.328
9.0     4.576
10.0    4.760
11.0    3.872
12.0    5.328
13.0    4.216
14.0    5.224
15.0    4.768
16.0    5.120
17.0    4.192
18.0    4.464
19.0    4.920
dtype: float64",7.75,4.6632,0.00746112,0.05782368,3.1434978841043333,0.48235841664188167,0.024204671050228478
0.28421052631578947,20.0,"0.0      7.0
1.0      6.0
2.0      5.0
3.0     11.0
4.0      9.0
5.0      5.0
6.0      3.0
7.0      9.0
8.0      5.0
9.0     11.0
10.0    10.0
11.0    12.0
12.0     6.0
13.0    10.0
14.0    12.0
15.0     9.0
16.0     6.0
17.0     4.0
18.0     7.0
19.0     6.0
dtype: float64","0.0     5.832
1.0     7.312
2.0     5.224
3.0     4.992
4.0     5.544
5.0     5.968
6.0     6.288
7.0     6.136
8.0     6.576
9.0     6.848
10.0    6.112
11.0    5.136
12.0    5.472
13.0    6.392
14.0    5.248
15.0    6.800
16.0    5.840
17.0    5.112
18.0    6.208
19.0    6.424
dtype: float64",7.65,5.9732,0.00955712,0.07311196800000001,2.7582412397834433,0.6548965044791027,0.027552662367547644
0.30526315789473685,20.0,"0.0      6.0
1.0      5.0
2.0      5.0
3.0      7.0
4.0      3.0
5.0      8.0
6.0      5.0
7.0      5.0
8.0      3.0
9.0      8.0
10.0     3.0
11.0     7.0
12.0     7.0
13.0     8.0
14.0     3.0
15.0    13.0
16.0    11.0
17.0    11.0
18.0     7.0
19.0    12.0
dtype: float64","0.0     7.200
1.0     8.048
2.0     8.472
3.0     7.616
4.0     7.480
5.0     8.240
6.0     7.728
7.0     8.360
8.0     7.280
9.0     7.864
10.0    7.784
11.0    6.832
12.0    8.192
13.0    6.520
14.0    8.184
15.0    6.400
16.0    6.864
17.0    8.384
18.0    8.400
19.0    6.768
dtype: float64",6.85,7.630799999999999,0.012209279999999998,0.08363356799999998,3.0482954684803594,0.67678136094777,0.03794945896380927
0.3263157894736842,20.0,"0.0     9.0
1.0     5.0
2.0     4.0
3.0     5.0
4.0     5.0
5.0     5.0
6.0     4.0
7.0     9.0
8.0     5.0
9.0     8.0
10.0    3.0
11.0    5.0
12.0    6.0
13.0    3.0
14.0    3.0
15.0    8.0
16.0    3.0
17.0    7.0
18.0    3.0
19.0    3.0
dtype: float64","0.0      8.696
1.0      9.728
2.0      8.744
3.0     12.232
4.0     10.704
5.0     10.528
6.0      9.736
7.0      8.488
8.0      8.328
9.0      7.528
10.0    10.000
11.0    11.488
12.0    11.352
13.0    11.272
14.0    11.528
15.0     8.480
16.0    10.536
17.0     9.176
18.0     8.904
19.0    13.312
dtype: float64",5.15,10.038,0.0160608,0.08271312,2.058998223459779,1.5180239232564643,0.03535579522084307
0.34736842105263155,20.0,"0.0     4.0
1.0     4.0
2.0     3.0
3.0     2.0
4.0     3.0
5.0     9.0
6.0     5.0
7.0     4.0
8.0     3.0
9.0     4.0
10.0    3.0
11.0    2.0
12.0    3.0
13.0    3.0
14.0    3.0
15.0    4.0
16.0    2.0
17.0    3.0
18.0    5.0
19.0    4.0
dtype: float64","0.0     12.896
1.0     14.360
2.0     13.152
3.0     13.616
4.0     12.256
5.0     10.064
6.0     13.552
7.0     10.384
8.0     13.832
9.0     11.232
10.0    15.392
11.0    13.736
12.0    14.784
13.0    15.392
14.0    16.640
15.0    12.440
16.0    17.576
17.0    17.480
18.0    11.688
19.0    13.432
dtype: float64",3.65,13.6952,0.02191232,0.079979968,1.5312533566021211,2.1074526803703093,0.0357393339155301
0.368421052631579,20.0,"0.0     4.0
1.0     2.0
2.0     4.0
3.0     4.0
4.0     3.0
5.0     2.0
6.0     2.0
7.0     4.0
8.0     5.0
9.0     3.0
10.0    3.0
11.0    2.0
12.0    3.0
13.0    3.0
14.0    4.0
15.0    4.0
16.0    3.0
17.0    5.0
18.0    3.0
19.0    2.0
dtype: float64","0.0     20.872
1.0     22.832
2.0     24.424
3.0     24.984
4.0     20.552
5.0     26.424
6.0     29.248
7.0     20.336
8.0     24.088
9.0     29.168
10.0    20.384
11.0    29.264
12.0    26.216
13.0    17.248
14.0    28.232
15.0    15.440
16.0    18.944
17.0    18.208
18.0    25.496
19.0    21.064
dtype: float64",3.25,23.171200000000002,0.03707392,0.12049024000000001,0.9665456669582609,4.20802833690679,0.04198643100689706
0.3894736842105263,20.0,"0.0     2.0
1.0     2.0
2.0     2.0
3.0     4.0
4.0     2.0
5.0     3.0
6.0     2.0
7.0     3.0
8.0     5.0
9.0     2.0
10.0    2.0
11.0    2.0
12.0    3.0
13.0    3.0
14.0    3.0
15.0    2.0
16.0    2.0
17.0    3.0
18.0    2.0
19.0    2.0
dtype: float64","0.0     50.792
1.0     44.488
2.0     38.448
3.0     36.736
4.0     55.320
5.0     28.536
6.0     36.920
7.0     24.040
8.0     44.064
9.0     38.912
10.0    39.520
11.0    26.800
12.0    38.008
13.0    34.040
14.0    37.272
15.0    40.232
16.0    33.592
17.0    40.600
18.0    58.592
19.0    31.384
dtype: float64",2.55,38.9148,0.06226368,0.158772384,0.8255779474818966,8.756737013053977,0.06260012231275464
0.4105263157894737,20.0,"0.0     2.0
1.0     2.0
2.0     2.0
3.0     7.0
4.0     2.0
5.0     3.0
6.0     3.0
7.0     3.0
8.0     1.0
9.0     3.0
10.0    2.0
11.0    2.0
12.0    2.0
13.0    2.0
14.0    2.0
15.0    4.0
16.0    2.0
17.0    2.0
18.0    2.0
19.0    3.0
dtype: float64","0.0     100.128
1.0      99.912
2.0      78.456
3.0      77.880
4.0      80.240
5.0      99.208
6.0      72.600
7.0      89.696
8.0      93.808
9.0      95.264
10.0    125.408
11.0     87.088
12.0     87.952
13.0    106.032
14.0    115.208
15.0     75.944
16.0    108.432
17.0     76.144
18.0    106.064
19.0     62.816
dtype: float64",2.55,91.91400000000002,0.14706240000000004,0.3750091200000001,1.234376040972246,15.924181598403964,0.1928067367073864
0.43157894736842106,20.0,"0.0     3.0
1.0     2.0
2.0     3.0
3.0     2.0
4.0     4.0
5.0     2.0
6.0     1.0
7.0     2.0
8.0     3.0
9.0     2.0
10.0    2.0
11.0    3.0
12.0    3.0
13.0    4.0
14.0    3.0
15.0    3.0
16.0    5.0
17.0    4.0
18.0    2.0
19.0    3.0
dtype: float64","0.0     243.528
1.0     222.384
2.0     237.608
3.0     257.656
4.0     210.288
5.0     192.232
6.0     248.720
7.0     216.360
8.0     210.152
9.0     181.512
10.0    237.624
11.0    280.088
12.0    214.624
13.0    258.472
14.0    262.816
15.0    226.976
16.0    195.640
17.0    228.512
18.0    238.968
19.0    224.624
dtype: float64",2.8,229.43919999999997,0.36710271999999994,1.0278876159999997,0.9514531821875087,25.283812357441587,0.3671888896981517
0.45263157894736844,20.0,"0.0     2.0
1.0     3.0
2.0     1.0
3.0     3.0
4.0     2.0
5.0     2.0
6.0     2.0
7.0     1.0
8.0     2.0
9.0     4.0
10.0    2.0
11.0    4.0
12.0    3.0
13.0    2.0
14.0    2.0
15.0    1.0
16.0    3.0
17.0    3.0
18.0    2.0
19.0    2.0
dtype: float64","0.0     446.272
1.0     356.256
2.0     429.424
3.0     397.480
4.0     371.056
5.0     381.704
6.0     400.616
7.0     413.400
8.0     412.032
9.0     371.936
10.0    381.720
11.0    379.344
12.0    324.392
13.0    465.872
14.0    389.456
15.0    413.344
16.0    362.672
17.0    379.800
18.0    382.048
19.0    416.032
dtype: float64",2.3,393.74280000000005,0.6299884800000001,1.448973504,0.8645047258706176,32.37524879416698,0.5575071622624653
0.4736842105263158,20.0,"0.0     2.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     2.0
6.0     1.0
7.0     2.0
8.0     1.0
9.0     1.0
10.0    2.0
11.0    2.0
12.0    2.0
13.0    2.0
14.0    2.0
15.0    1.0
16.0    2.0
17.0    1.0
18.0    2.0
19.0    5.0
dtype: float64","0.0     480.872
1.0     467.976
2.0     485.144
3.0     454.264
4.0     445.440
5.0     432.232
6.0     474.344
7.0     474.872
8.0     478.016
9.0     452.616
10.0    471.112
11.0    477.568
12.0    476.576
13.0    452.168
14.0    506.384
15.0    493.208
16.0    471.088
17.0    486.624
18.0    474.808
19.0    405.776
dtype: float64",1.7,468.0544000000001,0.7488870400000002,1.2731079680000004,0.9233805168766387,22.5595773905919,0.6942248938739153
0.49473684210526314,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     2.0
7.0     2.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    2.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64","0.0     493.032
1.0     515.688
2.0     499.584
3.0     488.024
4.0     497.144
5.0     521.432
6.0     525.680
7.0     500.472
8.0     514.304
9.0     489.696
10.0    493.080
11.0    520.056
12.0    507.440
13.0    497.936
14.0    528.904
15.0    523.312
16.0    527.344
17.0    520.216
18.0    527.080
19.0    485.384
dtype: float64",1.15,508.79040000000003,0.81406464,0.9361743359999999,0.36634754853252327,15.083555655083456,0.29951920167629464
0.5157894736842106,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     2.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     2.0
10.0    1.0
11.0    2.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    2.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64","0.0     555.600
1.0     529.448
2.0     531.440
3.0     547.576
4.0     536.400
5.0     533.048
6.0     529.768
7.0     550.072
8.0     546.544
9.0     524.728
10.0    546.240
11.0    547.128
12.0    545.552
13.0    543.040
14.0    550.224
15.0    547.304
16.0    547.376
17.0    531.168
18.0    553.808
19.0    543.448
dtype: float64",1.2,541.9956,0.8671929599999999,1.0406315519999998,0.41039134083406165,9.095583002060314,0.35631669320381465
0.5368421052631579,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64","0.0     552.824
1.0     561.592
2.0     557.488
3.0     557.992
4.0     563.408
5.0     547.784
6.0     566.768
7.0     557.264
8.0     573.288
9.0     569.784
10.0    555.312
11.0    548.280
12.0    576.512
13.0    530.712
14.0    574.712
15.0    565.984
16.0    559.144
17.0    571.536
18.0    557.856
19.0    559.880
dtype: float64",1.0,560.4060000000001,0.8966496,0.8966496,0.0,10.828695717738512,0.017325913148381618
0.5578947368421052,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    2.0
19.0    1.0
dtype: float64","0.0     558.904
1.0     569.256
2.0     573.992
3.0     545.336
4.0     560.496
5.0     584.384
6.0     585.760
7.0     582.120
8.0     573.696
9.0     575.976
10.0    535.824
11.0    587.784
12.0    589.784
13.0    570.664
14.0    570.312
15.0    558.480
16.0    551.856
17.0    584.544
18.0    555.736
19.0    574.784
dtype: float64",1.05,569.4844,0.91117504,0.9567337920000001,0.22360679774997896,14.974510379132164,0.20529218507421046
0.5789473684210527,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     2.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64","0.0     579.248
1.0     594.840
2.0     581.016
3.0     579.480
4.0     575.168
5.0     595.480
6.0     564.568
7.0     590.480
8.0     589.920
9.0     599.136
10.0    579.320
11.0    590.168
12.0    570.464
13.0    590.232
14.0    575.496
15.0    581.768
16.0    595.344
17.0    596.104
18.0    579.352
19.0    584.896
dtype: float64",1.05,584.624,0.9353984000000001,0.9821683200000001,0.22360679774997902,9.492585028658725,0.2097685211346581
0.6,20.0,"0.0     1.0
1.0     1.0
2.0     1.0
3.0     1.0
4.0     1.0
5.0     1.0
6.0     1.0
7.0     1.0
8.0     1.0
9.0     1.0
10.0    1.0
11.0    1.0
12.0    1.0
13.0    1.0
14.0    1.0
15.0    1.0
16.0    1.0
17.0    1.0
18.0    1.0
19.0    1.0
dtype: float64","0.0     603.904
1.0     609.048
2.0     589.704
3.0     584.160
4.0     588.232
5.0     593.232
6.0     601.272
7.0     594.424
8.0     593.280
9.0     588.608
10.0    589.968
11.0    585.152
12.0    574.400
13.0    575.800
14.0    598.480
15.0    574.568
16.0    585.584
17.0    588.952
18.0    594.680
19.0    593.736
dtype: float64",1.0,590.3592000000001,0.9445747200000002,0.9445747200000002,0.0,9.16422771662214,0.014662764346595424
